__KEY_location;id_u6;name_u4
22;TUxBUFNBTno3ZmY5;Santa Cruz
22;TUxBUFpPTmFpbnRl;Buenos Aires Interior
22;TUxBUFRVQ244NmM3;Tucumán
23;TUxBUE1FTmE5OWQ4;Mendoza
23;TUxBUE1JU3MzNjIx;Misiones
23;TUxBUE5FVW4xMzMzNQ;Neuquén
23;TUxBUEdSQWU4ZDkz;Bs.as. G.b.a. Norte
23;TUxBUEdSQWVmNTVm;Bs.as. G.b.a. Oeste
23;TUxBUEdSQXJlMDNm;Bs.as. G.b.a. Sur
23;TUxBUENBUGw3M2E1;Capital Federal
23;TUxBUENIQW8xMTNhOA;Chaco
23;TUxBUENIVXQxNDM1MQ;Chubut
23;TUxBUENPU2ExMmFkMw;Bs.as. Costa Atlántica
23;TUxBUENPUmFkZGIw;Córdoba
23;TUxBUENPUnM5MjI0;Corrientes
23;TUxBUEpVSnk3YmUz;Jujuy
23;TUxBUEVOVHMzNTdm;Entre Ríos
23;TUxBUExBWmE1OWMy;La Pampa
23;TUxBUEZPUmE1OTk5;Formosa
23;TUxBUFLNT29iZmZm;Río Negro
23;TUxBUFNBTGFjMTJi;Salta
23;TUxBUFNBTm9lOTlk;Santiago Del Estero
23;TUxBUFNBTmU5Nzk2;Santa Fe
23;TUxBUFNBTnM0ZTcz;San Luis
